title

ID;Fecha;Nombre de Cliente;Nombre de Cuidador;Servicio;Estatus;Duración;Duración por usuario;Servicios Adicionales;Monto de reserva;Monto Kmimos;Monto Partición Kmimos;Monto Partición Volaris;
;;;;;;;;;2830.8;481.24;192.49;288.74;
156378;15/06/2017;Pedro Pérez;Pedro Perez;hospedaje;paid;1 Noche(s);23;Corte de Pelo y Uñas ;79.2;13.464;5.3856;8.0784;
156372;09/06/2017;Pedro Pérez;Pedro Perez;hospedaje;paid;4 Noche(s);23;Baño ,Corte de Pelo y Uñas ,Visita al Veterinario ,Limpieza Dental ,Acupuntura ;504;85.68;34.272;51.408;
156369;07/06/2017;Carlos Gomez;Pedro Perez;hospedaje;paid;1 Noche(s);2;;240;40.8;16.32;24.48;
156366;06/06/2017;Carlos Gomez;Pedro Perez;hospedaje;unpaid;1 Noche(s);2;;120;20.4;8.16;12.24;
156362;06/06/2017;Pedro Pérez;Pedro Perez;hospedaje;complete;1 Noche(s);23;;120;20.4;8.16;12.24;
156359;06/06/2017;Pedro Pérez;Pedro Perez;hospedaje;paid;1 Noche(s);23;;120;20.4;8.16;12.24;
156356;06/06/2017;Pedro Pérez;Pedro Perez;hospedaje;complete;1 Noche(s);23;;120;20.4;8.16;12.24;
156351;01/06/2017;Pedro Pérez;Pedro Perez;hospedaje;unpaid;1 Noche(s);23;Corte de Pelo y Uñas ,Visita al Veterinario ;259.2;44.064;17.6256;26.4384;
156348;01/06/2017;Pedro Pérez;Pedro Perez;hospedaje;unpaid;1 Noche(s);23;Visita al Veterinario ;252;42.84;17.136;25.704;
156345;01/06/2017;Pedro Pérez;Pedro Perez;hospedaje;unpaid;1 Noche(s);23;;240;40.8;16.32;24.48;
156341;29/05/2017;Pedro Pérez;Pedro Perez;hospedaje;complete;1 Noche(s);23;Corte de Pelo y Uñas ;42;7.14;2.856;4.284;
156303;24/05/2017;Pedro Pérez;Pedro Perez;hospedaje;paid;1 Noche(s);23;Baño ;76.8;13.056;5.2224;7.8336;
156298;23/05/2017;Pedro Pérez;Pedro Perez;hospedaje;complete;1 Noche(s);23;;120;20.4;8.16;12.24;
156288;19/05/2017;Pedro Pérez;Maru Silva Castrejón;hospedaje;complete;1 Noche(s);23;;240;40.8;16.32;24.48;
156284;12/05/2017;Pedro Pérez;Pedro Perez;hospedaje;paid;2 Noche(s);23;Baño ;148.8;25.296;10.1184;15.1776;
156281;12/05/2017;Pedro Pérez;Pedro Perez;hospedaje;complete;2 Noche(s);23;Baño ;148.8;25.296;10.1184;15.1776;
156215;08/05/2017;Pedro Pérez;Pedro Perez;hospedaje;cancelled;2 Noche(s);23;Baño ;153.6;26.112;10.4448;15.6672;
154518;03/04/2017;Pedro Pérez;Pedro Perez;hospedaje;cancelled;2 Noche(s);23;;240;40.8;16.32;24.48;



